transaction_id,timestamp,hour_of_day,channel,channel_code,txn_type,txn_type_code,merchant_category,merchant_cat_code,amount_usd,amount_log,cross_border,is_cross_bank,is_high_value,is_peak_hour,message_complexity,simulated_network_load_tps,load_z,issuer_host_available
TXN100067,2026-03-08 19:24:01,19,MOBILE_APP,2,BALANCE_INQUIRY,0,Education,2,35.98,3.610377225958979,False,1,0,1,1,53.7,0.5975532912197107,True
TXN100068,2026-01-14 08:19:43,8,ECOM,1,PURCHASE,3,Entertainment,3,13.75,2.691243082785829,True,1,0,0,3,50.3,0.3583260047288888,True
TXN100069,2026-03-26 11:06:56,11,MOBILE_APP,2,BILL_PAYMENT,1,Airtime/Telecom,0,45.24,3.833845224364122,False,0,0,1,3,51.5,0.44275916466682597,True
TXN100070,2026-05-24 00:13:25,0,MOBILE_APP,2,PURCHASE,3,Restaurant,9,23.35,3.192531849528599,False,1,0,0,2,17.4,-1.9565497969028836,True
TXN100071,2026-02-04 01:11:10,1,ECOM,1,WITHDRAWAL,5,Fuel,5,29.28,3.410487428569248,False,1,0,0,2,11.0,-2.4068599832385473,True
TXN100072,2026-03-25 08:45:43,8,MOBILE_APP,2,WITHDRAWAL,5,Utilities,11,10.56,2.4475508632442313,False,1,0,0,2,45.9,0.048737751623119926,True
TXN100073,2026-01-24 07:18:04,7,ECOM,1,FUND_TRANSFER,2,Airtime/Telecom,0,31.44,3.479392229247212,False,1,0,0,3,38.6,-0.46489730466599655,True
TXN100074,2026-05-04 13:19:58,13,USSD,4,FUND_TRANSFER,2,Entertainment,3,20.95,3.08876713952118,False,1,0,0,3,57.0,0.8297444810490372,True
TXN100075,2026-03-27 20:27:51,20,POS,3,PURCHASE,3,Healthcare,8,28.38,3.380314170745731,False,1,0,0,2,36.0,-0.6478358178648601,True
TXN100076,2026-03-01 06:11:58,6,POS,3,PURCHASE,3,Financial Services,4,187.48,5.238991900463222,False,0,1,0,2,24.8,-1.435878643952272,True
TXN100077,2026-02-10 19:14:47,19,MOBILE_APP,2,FUND_TRANSFER,2,Airtime/Telecom,0,47.62,3.884034968887977,False,1,0,1,3,52.3,0.49904793795878377,True
TXN100078,2026-04-12 16:12:41,16,POS,3,FUND_TRANSFER,2,Grocery,7,34.18,3.560477739309412,False,1,0,0,3,51.3,0.42868697134383627,True
TXN100079,2026-05-01 08:57:26,8,POS,3,BALANCE_INQUIRY,0,Education,2,34.04,3.5564902660681907,False,1,0,0,1,51.2,0.4216508746823419,True
TXN100080,2026-06-19 10:36:04,10,ATM,0,PURCHASE,3,Restaurant,9,224.76,5.419472488104504,False,1,1,1,2,52.7,0.5271923246047632,True
TXN100081,2026-03-20 08:55:50,8,POS,3,FUND_TRANSFER,2,Fuel,5,21.76,3.1250046092581303,False,1,0,0,3,45.8,0.041701654961625076,True
TXN100082,2026-01-29 18:51:22,18,ECOM,1,REVERSAL,4,Airtime/Telecom,0,70.6,4.2710950739666,True,1,0,1,5,65.1,1.3996683106301115,True
TXN100083,2026-05-30 17:14:53,17,ECOM,1,PURCHASE,3,Government/Tax,6,26.3,3.3068867021909143,False,1,0,0,2,62.0,1.1815493141237747,True
TXN100084,2026-04-24 10:02:13,10,ECOM,1,BALANCE_INQUIRY,0,Entertainment,3,80.65,4.402441819416474,False,1,0,1,1,46.3,0.07688213826909883,True
TXN100085,2026-05-07 05:26:00,5,ECOM,1,BALANCE_INQUIRY,0,Airtime/Telecom,0,157.67,5.066826573745998,False,1,1,0,1,19.4,-1.8158278636729885,True
TXN100086,2026-01-18 08:21:19,8,MOBILE_APP,2,PURCHASE,3,Healthcare,8,112.24,4.7295094602436984,False,0,0,0,2,51.4,0.4357230680053311,True
TXN100087,2026-02-26 16:36:03,16,MOBILE_APP,2,PURCHASE,3,E-commerce,1,156.82,5.061455143092889,False,1,1,0,2,43.4,-0.1271646649142488,True
TXN100088,2026-05-19 06:09:45,6,MOBILE_APP,2,FUND_TRANSFER,2,Financial Services,4,21.61,3.1183922862898785,True,1,0,0,4,24.7,-1.4429147406137668,True
TXN100089,2026-05-30 14:11:35,14,ECOM,1,BALANCE_INQUIRY,0,Grocery,7,47.03,3.871825815676733,True,1,0,0,2,45.8,0.041701654961625076,True
TXN100090,2026-03-20 15:12:10,15,POS,3,BILL_PAYMENT,1,Utilities,11,12.19,2.579458966729223,False,1,0,0,3,41.0,-0.2960309847901227,True
TXN100091,2026-05-25 17:37:02,17,ECOM,1,REVERSAL,4,Grocery,7,19.39,3.015044584586364,False,1,0,0,4,54.3,0.6397698711886788,True
TXN100092,2026-06-01 07:10:00,7,ATM,0,PURCHASE,3,Government/Tax,6,104.47,4.658426552288523,False,0,0,0,2,36.5,-0.6126553345573864,True
TXN100093,2026-03-11 13:25:38,13,POS,3,BALANCE_INQUIRY,0,Financial Services,4,11.88,2.5556757206762075,False,1,0,0,1,56.6,0.8016000944030583,True
TXN100094,2026-06-11 13:15:40,13,ECOM,1,BILL_PAYMENT,1,Transport,10,19.96,3.0426158594528414,False,0,0,0,3,55.9,0.7523474177725948,True
TXN100095,2026-02-21 19:01:20,19,ECOM,1,FUND_TRANSFER,2,Grocery,7,15.34,2.7936160894318567,False,0,0,1,3,48.9,0.2598206514679624,True
TXN100096,2026-02-13 13:10:52,13,ATM,0,WITHDRAWAL,5,E-commerce,1,42.07,3.7628266990660193,False,1,0,0,2,56.6,0.8016000944030583,True
TXN100097,2026-05-03 12:15:30,12,POS,3,PURCHASE,3,Fuel,5,54.05,4.008241863168689,True,1,0,1,3,65.6,1.4348487939375851,True
TXN100098,2026-04-25 07:48:37,7,ECOM,1,BILL_PAYMENT,1,Government/Tax,6,69.23,4.251775570170929,False,1,0,0,3,38.2,-0.49304169131197545,True
TXN100099,2026-01-26 17:10:55,17,ATM,0,BILL_PAYMENT,1,Fuel,5,227.36,5.430923331096058,False,0,1,0,3,54.3,0.6397698711886788,True
TXN100100,2026-05-30 15:34:07,15,MOBILE_APP,2,BILL_PAYMENT,1,Entertainment,3,71.75,4.287028906051602,True,1,0,0,4,47.6,0.16835139486853087,True
TXN100101,2026-02-05 17:49:44,17,ECOM,1,BALANCE_INQUIRY,0,E-commerce,1,26.46,3.312730400339825,False,1,0,0,1,58.3,0.9212137376484687,True
TXN100102,2026-05-25 16:58:29,16,ECOM,1,WITHDRAWAL,5,Government/Tax,6,7.67,2.1598687907924505,False,1,0,0,2,49.5,0.302037231436931,True
TXN100103,2026-01-02 20:29:21,20,POS,3,BALANCE_INQUIRY,0,Airtime/Telecom,0,93.49,4.548494008794535,False,1,0,0,1,37.9,-0.5141499812964601,True
TXN100104,2026-05-24 20:02:39,20,ECOM,1,WITHDRAWAL,5,Transport,10,76.96,4.35619587463936,False,1,0,0,2,41.1,-0.28899488812862784,True
TXN100105,2026-05-22 10:10:54,10,ATM,0,PURCHASE,3,Airtime/Telecom,0,15.97,2.831447079246135,False,1,0,1,2,52.5,0.5131201312817735,True
TXN100106,2026-05-21 08:32:56,8,ATM,0,WITHDRAWAL,5,Entertainment,3,12.92,2.6333266549062735,False,1,0,0,2,47.7,0.17538749153002572,True
TXN100107,2026-04-30 21:34:28,21,ECOM,1,WITHDRAWAL,5,Government/Tax,6,13.75,2.691243082785829,False,1,0,0,2,34.4,-0.7604133644487763,True
TXN100108,2026-03-26 17:58:31,17,ECOM,1,PURCHASE,3,Utilities,11,55.47,4.033709523684745,False,0,0,0,2,56.9,0.8227083843875423,True
TXN100109,2026-05-07 22:26:22,22,MOBILE_APP,2,PURCHASE,3,Utilities,11,7.86,2.1815467646169897,False,1,0,0,2,20.8,-1.717322510412062,True
TXN100110,2026-02-19 13:26:56,13,MOBILE_APP,2,FUND_TRANSFER,2,Grocery,7,12.47,2.6004649904222727,False,0,0,0,3,54.7,0.6679142578346582,True
TXN100111,2026-05-21 22:25:56,22,ECOM,1,WITHDRAWAL,5,Healthcare,8,48.31,3.8981269002360346,True,1,0,0,3,21.3,-1.6821420271045882,True
TXN100112,2026-04-11 07:16:30,7,ECOM,1,PURCHASE,3,Transport,10,40.65,3.7293013686128518,True,1,0,0,3,37.0,-0.5774748512499127,True
TXN100113,2026-03-24 15:12:01,15,MOBILE_APP,2,WITHDRAWAL,5,Restaurant,9,33.24,3.5333945512735414,False,1,0,0,2,43.7,-0.10605637492976426,True
TXN100114,2026-04-02 13:56:21,13,MOBILE_APP,2,PURCHASE,3,Utilities,11,18.48,2.969388298214389,False,1,0,0,2,61.1,1.118224444170322,True
TXN100115,2026-04-13 00:38:32,0,ECOM,1,WITHDRAWAL,5,Grocery,7,68.36,4.239310332472287,True,1,0,0,3,13.3,-2.245029760024168,True
TXN100116,2026-01-07 08:51:48,8,ECOM,1,WITHDRAWAL,5,Fuel,5,39.88,3.7106409458954492,False,1,0,0,2,45.9,0.048737751623119926,True
TXN100117,2026-01-26 08:49:56,8,POS,3,REVERSAL,4,Grocery,7,12.97,2.6369121732688705,False,1,0,0,4,48.1,0.2035318781760046,True
TXN100118,2026-02-14 05:52:04,5,POS,3,PURCHASE,3,Utilities,11,13.59,2.6803363625346943,False,0,0,0,2,15.0,-2.1254161167787573,True
TXN100119,2026-01-21 21:29:56,21,ATM,0,PURCHASE,3,Utilities,11,30.44,3.448080967561006,False,1,0,0,2,31.3,-0.9785323609551133,True
TXN100120,2026-03-21 22:17:12,22,ECOM,1,WITHDRAWAL,5,Entertainment,3,42.67,3.7766613674974696,False,1,0,0,2,18.1,-1.9072971202724203,True
TXN100121,2026-05-01 20:08:09,20,MOBILE_APP,2,PURCHASE,3,Healthcare,8,9.35,2.336986519711378,False,1,0,0,2,35.6,-0.6759802045108391,True
TXN100122,2026-04-28 23:49:56,23,MOBILE_APP,2,FUND_TRANSFER,2,Education,2,31.44,3.479392229247212,False,1,0,0,3,18.4,-1.8861888302879362,True
TXN100123,2026-03-26 19:15:49,19,ECOM,1,FUND_TRANSFER,2,Education,2,16.97,2.8887037007954675,False,1,0,1,3,50.4,0.36536210139038366,True
TXN100124,2026-06-03 21:50:54,21,ECOM,1,WITHDRAWAL,5,Airtime/Telecom,0,69.7,4.258445572902527,False,1,0,0,2,37.9,-0.5141499812964601,True
TXN100125,2026-04-12 08:18:22,8,ECOM,1,BALANCE_INQUIRY,0,Entertainment,3,91.32,4.52526080275979,True,1,0,0,2,46.3,0.07688213826909883,True
TXN100126,2026-01-15 09:08:30,9,POS,3,BILL_PAYMENT,1,Transport,10,13.96,2.7053799725463312,False,1,0,1,3,46.8,0.11206262157657257,True
TXN100127,2026-05-18 19:52:46,19,POS,3,REVERSAL,4,Airtime/Telecom,0,18.31,2.960623096440423,False,1,0,1,4,51.8,0.46386745465131,True
TXN100128,2026-04-14 13:21:39,13,ECOM,1,BALANCE_INQUIRY,0,Airtime/Telecom,0,58.1,4.079230924412053,False,1,0,0,1,53.2,0.5623728079122369,True
TXN100129,2026-04-25 17:37:00,17,ATM,0,BILL_PAYMENT,1,Fuel,5,91.69,4.529260591887741,False,1,0,0,3,53.4,0.5764450012352261,True
TXN100130,2026-04-12 14:24:49,14,POS,3,PURCHASE,3,Fuel,5,6.86,2.061786606441115,False,0,0,0,2,46.9,0.11909871823806742,True
TXN100131,2026-04-10 10:55:01,10,POS,3,PURCHASE,3,Fuel,5,20.79,3.0814511489565284,False,1,0,1,2,51.5,0.44275916466682597,True
TXN100132,2026-01-17 10:11:05,10,POS,3,PURCHASE,3,Airtime/Telecom,0,51.03,3.9518204753022124,False,1,0,1,2,52.0,0.4779396479742997,True
TXN100133,2026-04-11 18:19:12,18,MOBILE_APP,2,BALANCE_INQUIRY,0,Restaurant,9,48.26,3.897112392692392,False,1,0,1,1,61.4,1.139332734154806,True
TXN100134,2026-05-24 14:46:41,14,MOBILE_APP,2,BALANCE_INQUIRY,0,Utilities,11,8.2,2.2192034840549946,False,0,0,0,1,50.5,0.3723981980518785,True
TXN100135,2026-02-24 11:52:34,11,POS,3,BILL_PAYMENT,1,Fuel,5,56.96,4.059753117452481,False,1,0,1,3,56.9,0.8227083843875423,True
TXN100136,2026-04-19 15:34:51,15,POS,3,BALANCE_INQUIRY,0,E-commerce,1,91.79,4.530338875365088,False,1,0,0,1,50.4,0.36536210139038366,True
TXN100137,2026-01-06 12:47:56,12,ECOM,1,PURCHASE,3,Financial Services,4,29.57,3.420019135902743,False,1,0,1,2,56.9,0.8227083843875423,True
TXN100138,2026-03-04 13:36:07,13,ECOM,1,FUND_TRANSFER,2,Fuel,5,85.59,4.46118433545971,False,0,0,0,3,53.0,0.5483006145892472,True
TXN100139,2026-03-20 16:56:48,16,MOBILE_APP,2,PURCHASE,3,Restaurant,9,20.5,3.068052935133617,False,1,0,0,2,46.8,0.11206262157657257,True
TXN100140,2026-06-26 13:57:46,13,ECOM,1,BALANCE_INQUIRY,0,Airtime/Telecom,0,71.12,4.2783313983351166,False,1,0,0,1,56.5,0.7945639977415635,True
TXN100141,2026-02-08 21:14:10,21,ECOM,1,BILL_PAYMENT,1,Restaurant,9,310.68,5.74197702045417,False,1,1,0,3,27.8,-1.2247957441074295,True
TXN100142,2026-02-19 13:20:01,13,ECOM,1,BALANCE_INQUIRY,0,Financial Services,4,23.52,3.1994891110680106,True,1,0,0,2,56.5,0.7945639977415635,True
TXN100143,2026-03-15 22:56:11,22,ATM,0,WITHDRAWAL,5,Government/Tax,6,58.61,4.087823345231835,False,1,0,0,2,19.1,-1.8369361536574726,True
TXN100144,2026-06-28 19:17:41,19,ECOM,1,PURCHASE,3,Financial Services,4,10.35,2.4292177439274116,False,1,0,1,2,52.2,0.4920118412972894,True
TXN100145,2026-06-03 20:39:53,20,ATM,0,PURCHASE,3,Entertainment,3,4.69,1.7387102481382397,False,1,0,0,2,38.2,-0.49304169131197545,True
TXN100146,2026-01-07 18:59:17,18,MOBILE_APP,2,FUND_TRANSFER,2,Financial Services,4,12.85,2.6282852326333477,True,1,0,1,4,56.6,0.8016000944030583,True
TXN100147,2026-02-12 15:44:44,15,POS,3,PURCHASE,3,Transport,10,161.94,5.093382034882496,False,1,1,0,2,39.2,-0.422680724697028,True
TXN100148,2026-05-28 14:39:14,14,POS,3,BILL_PAYMENT,1,Fuel,5,80.13,4.396052806406973,False,1,0,0,3,52.1,0.48497574463579457,True
TXN100149,2026-01-11 14:11:34,14,ECOM,1,WITHDRAWAL,5,Government/Tax,6,34.88,3.5801800371905954,False,0,0,0,2,52.4,0.5060840346202786,True
TXN100150,2026-06-04 09:12:54,9,POS,3,PURCHASE,3,Airtime/Telecom,0,6.63,2.0320878452963655,False,1,0,1,2,47.0,0.12613481489956227,True
TXN100151,2026-02-20 09:12:02,9,POS,3,WITHDRAWAL,5,Airtime/Telecom,0,11.95,2.5610957881455465,False,1,0,1,2,50.7,0.3864703913748682,True
TXN100152,2026-06-15 02:04:14,2,MOBILE_APP,2,PURCHASE,3,Transport,10,80.99,4.406597288608086,False,1,0,0,2,8.0,-2.6179428830833897,True
TXN100153,2026-02-22 18:59:08,18,ECOM,1,WITHDRAWAL,5,Grocery,7,22.18,3.1432898379116057,False,0,0,1,2,62.0,1.1815493141237747,True
TXN100154,2026-03-20 07:50:23,7,MOBILE_APP,2,PURCHASE,3,Transport,10,2.36,1.2119409739751128,False,1,0,0,2,39.3,-0.41564462803553365,True
TXN100155,2026-04-30 15:47:34,15,ECOM,1,BALANCE_INQUIRY,0,Government/Tax,6,23.74,3.208421366964342,False,0,0,0,1,43.4,-0.1271646649142488,True
TXN100156,2026-01-23 07:46:40,7,MOBILE_APP,2,WITHDRAWAL,5,E-commerce,1,57.84,4.074821895733237,False,1,0,0,2,37.1,-0.5704387545884179,True
TXN100157,2026-04-11 05:53:50,5,ECOM,1,BALANCE_INQUIRY,0,Education,2,9.3,2.33214389523559,False,1,0,0,1,17.1,-1.9776580868873677,True
TXN100158,2026-04-01 14:42:09,14,POS,3,PURCHASE,3,Financial Services,4,7.19,2.102913897864978,False,1,0,0,2,49.2,0.28092894145244696,True
TXN100159,2026-05-22 19:15:38,19,POS,3,REVERSAL,4,Grocery,7,21.81,3.1271990362962967,False,1,0,1,4,49.9,0.3301816180829099,True
TXN100160,2026-06-29 11:14:48,11,ECOM,1,PURCHASE,3,Education,2,36.43,3.6224725219163374,False,1,0,1,2,49.4,0.29500113477543616,True
