transaction_id,timestamp,hour_of_day,txn_type,mti_code,channel,issuer_bank_id,acquirer_bank_id,merchant_category,amount_usd,cross_border,simulated_network_load_tps,issuer_host_available
TXN100034,2026-06-09 06:42:13,6,PURCHASE,0200,ATM,6,4,Utilities,4.4,False,22.5,True
TXN100035,2026-01-12 23:28:46,23,PURCHASE,0200,ATM,6,4,Grocery,40.11,False,20.4,True
TXN100036,2026-06-04 00:47:36,0,WITHDRAWAL,0200,ECOM,3,6,Restaurant,21.12,True,12.5,True
TXN100037,2026-05-29 13:04:23,13,WITHDRAWAL,0200,POS,6,6,Fuel,13.81,False,57.6,True
TXN100038,2026-02-19 11:05:27,11,BILL_PAYMENT,0200,MOBILE_APP,3,2,Healthcare,15.26,False,53.0,True
TXN100039,2026-04-24 18:03:43,18,PURCHASE,0200,ATM,2,1,Healthcare,279.25,False,60.5,True
TXN100040,2026-01-30 17:30:56,17,FUND_TRANSFER,0200,ECOM,4,5,Transport,17.88,False,53.7,True
TXN100041,2026-05-17 16:01:34,16,PURCHASE,0200,ECOM,6,4,Education,23.71,False,50.9,True
TXN100042,2026-05-07 06:14:40,6,PURCHASE,0200,MOBILE_APP,1,3,Transport,30.97,False,20.9,True
TXN100043,2026-03-05 09:57:14,9,PURCHASE,0200,MOBILE_APP,2,5,Utilities,77.23,False,56.6,True
TXN100044,2026-01-13 06:11:14,6,BALANCE_INQUIRY,0100,POS,3,2,Transport,54.39,False,29.0,True
TXN100045,2026-06-24 22:57:24,22,PURCHASE,0200,ATM,5,1,Government/Tax,191.89,False,27.0,True
TXN100046,2026-03-22 07:47:23,7,PURCHASE,0200,ATM,1,3,Government/Tax,51.73,True,32.3,True
TXN100047,2026-06-10 22:23:36,22,FUND_TRANSFER,0200,ECOM,4,4,Restaurant,41.05,False,18.3,True
TXN100048,2026-05-03 07:43:55,7,BILL_PAYMENT,0200,ATM,1,1,Fuel,82.73,False,36.0,True
TXN100049,2026-05-21 19:40:50,19,WITHDRAWAL,0200,ECOM,2,5,Transport,134.88,False,51.8,True
TXN100050,2026-05-17 15:37:52,15,FUND_TRANSFER,0200,ECOM,6,5,Grocery,15.15,False,42.8,True
TXN100051,2026-02-05 19:03:14,19,PURCHASE,0200,USSD,2,5,Fuel,7.0,False,48.4,True
TXN100052,2026-03-07 16:03:15,16,BALANCE_INQUIRY,0100,ECOM,2,6,Education,3.88,False,45.7,True
TXN100053,2026-03-26 18:42:07,18,WITHDRAWAL,0200,POS,4,3,Government/Tax,30.08,True,60.0,True
TXN100054,2026-03-31 17:22:46,17,BALANCE_INQUIRY,0100,ECOM,6,3,Transport,185.75,False,52.1,True
TXN100055,2026-01-08 10:27:52,10,PURCHASE,0200,ATM,4,5,Financial Services,171.84,False,49.7,True
TXN100056,2026-04-09 21:39:20,21,BILL_PAYMENT,0200,ECOM,1,4,Education,119.27,False,29.9,True
TXN100057,2026-01-28 16:29:57,16,BILL_PAYMENT,0200,POS,6,3,Financial Services,16.57,False,48.3,True
TXN100058,2026-05-14 09:21:53,9,PURCHASE,0200,MOBILE_APP,3,5,Restaurant,32.41,False,50.0,True
TXN100059,2026-05-03 10:06:03,10,PURCHASE,0200,POS,6,3,E-commerce,83.55,False,50.5,True
TXN100060,2026-06-16 14:58:37,14,PURCHASE,0200,ATM,3,6,Restaurant,31.66,False,48.3,True
TXN100061,2026-05-15 20:23:57,20,FUND_TRANSFER,0200,USSD,6,1,Restaurant,19.14,False,45.3,True
TXN100062,2026-03-07 18:47:00,18,PURCHASE,0200,MOBILE_APP,5,4,Healthcare,18.67,False,62.7,True
TXN100063,2026-06-24 10:10:44,10,WITHDRAWAL,0200,MOBILE_APP,2,3,Entertainment,83.53,False,54.1,True
TXN100064,2026-03-15 17:19:11,17,PURCHASE,0200,POS,3,1,Healthcare,21.91,False,57.4,True
TXN100065,2026-02-28 00:00:55,0,FUND_TRANSFER,0200,POS,2,2,Transport,15.51,False,14.1,True
TXN100066,2026-06-12 11:03:59,11,PURCHASE,0200,ATM,6,3,Government/Tax,151.05,False,54.8,True
TXN100067,2026-03-08 19:24:01,19,BALANCE_INQUIRY,0100,MOBILE_APP,1,2,Education,35.98,False,53.7,True
TXN100068,2026-01-14 08:19:43,8,PURCHASE,0200,ECOM,5,1,Entertainment,13.75,True,50.3,True
TXN100069,2026-03-26 11:06:56,11,BILL_PAYMENT,0200,MOBILE_APP,1,1,Airtime/Telecom,45.24,False,51.5,True
TXN100070,2026-05-24 00:13:25,0,PURCHASE,0200,MOBILE_APP,3,4,Restaurant,23.35,False,17.4,True
TXN100071,2026-02-04 01:11:10,1,WITHDRAWAL,0200,ECOM,2,1,Fuel,29.28,False,11.0,True
TXN100072,2026-03-25 08:45:43,8,WITHDRAWAL,0200,MOBILE_APP,3,5,Utilities,10.56,False,45.9,True
TXN100073,2026-01-24 07:18:04,7,FUND_TRANSFER,0200,ECOM,2,4,Airtime/Telecom,31.44,False,38.6,True
TXN100074,2026-05-04 13:19:58,13,FUND_TRANSFER,0200,USSD,6,4,Entertainment,20.95,False,57.0,True
TXN100075,2026-03-27 20:27:51,20,PURCHASE,0200,POS,3,5,Healthcare,28.38,False,36.0,True
TXN100076,2026-03-01 06:11:58,6,PURCHASE,0200,POS,1,1,Financial Services,187.48,False,24.8,True
TXN100077,2026-02-10 19:14:47,19,FUND_TRANSFER,0200,MOBILE_APP,6,3,Airtime/Telecom,47.62,False,52.3,True
TXN100078,2026-04-12 16:12:41,16,FUND_TRANSFER,0200,POS,1,3,Grocery,34.18,False,51.3,True
TXN100079,2026-05-01 08:57:26,8,BALANCE_INQUIRY,0100,POS,4,5,Education,34.04,False,51.2,True
TXN100080,2026-06-19 10:36:04,10,PURCHASE,0200,ATM,4,3,Restaurant,224.76,False,52.7,True
TXN100081,2026-03-20 08:55:50,8,FUND_TRANSFER,0200,POS,1,3,Fuel,21.76,False,45.8,True
TXN100082,2026-01-29 18:51:22,18,REVERSAL,0420,ECOM,1,4,Airtime/Telecom,70.6,True,65.1,True
TXN100083,2026-05-30 17:14:53,17,PURCHASE,0200,ECOM,4,1,Government/Tax,26.3,False,62.0,True
TXN100084,2026-04-24 10:02:13,10,BALANCE_INQUIRY,0100,ECOM,2,1,Entertainment,80.65,False,46.3,True
TXN100085,2026-05-07 05:26:00,5,BALANCE_INQUIRY,0100,ECOM,3,5,Airtime/Telecom,157.67,False,19.4,True
TXN100086,2026-01-18 08:21:19,8,PURCHASE,0200,MOBILE_APP,4,4,Healthcare,112.24,False,51.4,True
TXN100087,2026-02-26 16:36:03,16,PURCHASE,0200,MOBILE_APP,1,4,E-commerce,156.82,False,43.4,True
TXN100088,2026-05-19 06:09:45,6,FUND_TRANSFER,0200,MOBILE_APP,3,2,Financial Services,21.61,True,24.7,True
TXN100089,2026-05-30 14:11:35,14,BALANCE_INQUIRY,0100,ECOM,5,2,Grocery,47.03,True,45.8,True
TXN100090,2026-03-20 15:12:10,15,BILL_PAYMENT,0200,POS,1,5,Utilities,12.19,False,41.0,True
TXN100091,2026-05-25 17:37:02,17,REVERSAL,0420,ECOM,2,6,Grocery,19.39,False,54.3,True
TXN100092,2026-06-01 07:10:00,7,PURCHASE,0200,ATM,6,6,Government/Tax,104.47,False,36.5,True
TXN100093,2026-03-11 13:25:38,13,BALANCE_INQUIRY,0100,POS,6,5,Financial Services,11.88,False,56.6,True
TXN100094,2026-06-11 13:15:40,13,BILL_PAYMENT,0200,ECOM,3,3,Transport,19.96,False,55.9,True
TXN100095,2026-02-21 19:01:20,19,FUND_TRANSFER,0200,ECOM,2,2,Grocery,15.34,False,48.9,True
TXN100096,2026-02-13 13:10:52,13,WITHDRAWAL,0200,ATM,2,5,E-commerce,42.07,False,56.6,True
TXN100097,2026-05-03 12:15:30,12,PURCHASE,0200,POS,4,1,Fuel,54.05,True,65.6,True
TXN100098,2026-04-25 07:48:37,7,BILL_PAYMENT,0200,ECOM,5,3,Government/Tax,69.23,False,38.2,True
TXN100099,2026-01-26 17:10:55,17,BILL_PAYMENT,0200,ATM,2,2,Fuel,227.36,False,54.3,True
TXN100100,2026-05-30 15:34:07,15,BILL_PAYMENT,0200,MOBILE_APP,4,2,Entertainment,71.75,True,47.6,True
TXN100101,2026-02-05 17:49:44,17,BALANCE_INQUIRY,0100,ECOM,4,6,E-commerce,26.46,False,58.3,True
TXN100102,2026-05-25 16:58:29,16,WITHDRAWAL,0200,ECOM,2,1,Government/Tax,7.67,False,49.5,True
TXN100103,2026-01-02 20:29:21,20,BALANCE_INQUIRY,0100,POS,4,1,Airtime/Telecom,93.49,False,37.9,True
TXN100104,2026-05-24 20:02:39,20,WITHDRAWAL,0200,ECOM,3,1,Transport,76.96,False,41.1,True
TXN100105,2026-05-22 10:10:54,10,PURCHASE,0200,ATM,6,4,Airtime/Telecom,15.97,False,52.5,True
TXN100106,2026-05-21 08:32:56,8,WITHDRAWAL,0200,ATM,1,5,Entertainment,12.92,False,47.7,True
TXN100107,2026-04-30 21:34:28,21,WITHDRAWAL,0200,ECOM,4,1,Government/Tax,13.75,False,34.4,True
TXN100108,2026-03-26 17:58:31,17,PURCHASE,0200,ECOM,6,6,Utilities,55.47,False,56.9,True
TXN100109,2026-05-07 22:26:22,22,PURCHASE,0200,MOBILE_APP,2,6,Utilities,7.86,False,20.8,True
TXN100110,2026-02-19 13:26:56,13,FUND_TRANSFER,0200,MOBILE_APP,1,1,Grocery,12.47,False,54.7,True
TXN100111,2026-05-21 22:25:56,22,WITHDRAWAL,0200,ECOM,3,2,Healthcare,48.31,True,21.3,True
TXN100112,2026-04-11 07:16:30,7,PURCHASE,0200,ECOM,2,3,Transport,40.65,True,37.0,True
TXN100113,2026-03-24 15:12:01,15,WITHDRAWAL,0200,MOBILE_APP,6,2,Restaurant,33.24,False,43.7,True
TXN100114,2026-04-02 13:56:21,13,PURCHASE,0200,MOBILE_APP,6,5,Utilities,18.48,False,61.1,True
TXN100115,2026-04-13 00:38:32,0,WITHDRAWAL,0200,ECOM,6,5,Grocery,68.36,True,13.3,True
TXN100116,2026-01-07 08:51:48,8,WITHDRAWAL,0200,ECOM,4,5,Fuel,39.88,False,45.9,True
TXN100117,2026-01-26 08:49:56,8,REVERSAL,0420,POS,5,3,Grocery,12.97,False,48.1,True
TXN100118,2026-02-14 05:52:04,5,PURCHASE,0200,POS,6,6,Utilities,13.59,False,15.0,True
TXN100119,2026-01-21 21:29:56,21,PURCHASE,0200,ATM,4,1,Utilities,30.44,False,31.3,True
TXN100120,2026-03-21 22:17:12,22,WITHDRAWAL,0200,ECOM,2,6,Entertainment,42.67,False,18.1,True
TXN100121,2026-05-01 20:08:09,20,PURCHASE,0200,MOBILE_APP,3,4,Healthcare,9.35,False,35.6,True
TXN100122,2026-04-28 23:49:56,23,FUND_TRANSFER,0200,MOBILE_APP,6,4,Education,31.44,False,18.4,True
TXN100123,2026-03-26 19:15:49,19,FUND_TRANSFER,0200,ECOM,3,6,Education,16.97,False,50.4,True
TXN100124,2026-06-03 21:50:54,21,WITHDRAWAL,0200,ECOM,1,6,Airtime/Telecom,69.7,False,37.9,True
TXN100125,2026-04-12 08:18:22,8,BALANCE_INQUIRY,0100,ECOM,3,2,Entertainment,91.32,True,46.3,True
TXN100126,2026-01-15 09:08:30,9,BILL_PAYMENT,0200,POS,6,4,Transport,13.96,False,46.8,True
TXN100127,2026-05-18 19:52:46,19,REVERSAL,0420,POS,1,3,Airtime/Telecom,18.31,False,51.8,True
TXN100128,2026-04-14 13:21:39,13,BALANCE_INQUIRY,0100,ECOM,6,2,Airtime/Telecom,58.1,False,53.2,True
TXN100129,2026-04-25 17:37:00,17,BILL_PAYMENT,0200,ATM,6,2,Fuel,91.69,False,53.4,True
TXN100130,2026-04-12 14:24:49,14,PURCHASE,0200,POS,5,5,Fuel,6.86,False,46.9,True
TXN100131,2026-04-10 10:55:01,10,PURCHASE,0200,POS,3,5,Fuel,20.79,False,51.5,True
TXN100132,2026-01-17 10:11:05,10,PURCHASE,0200,POS,4,5,Airtime/Telecom,51.03,False,52.0,True
TXN100133,2026-04-11 18:19:12,18,BALANCE_INQUIRY,0100,MOBILE_APP,6,3,Restaurant,48.26,False,61.4,True
TXN100134,2026-05-24 14:46:41,14,BALANCE_INQUIRY,0100,MOBILE_APP,5,5,Utilities,8.2,False,50.5,True
TXN100135,2026-02-24 11:52:34,11,BILL_PAYMENT,0200,POS,3,4,Fuel,56.96,False,56.9,True
TXN100136,2026-04-19 15:34:51,15,BALANCE_INQUIRY,0100,POS,6,1,E-commerce,91.79,False,50.4,True
TXN100137,2026-01-06 12:47:56,12,PURCHASE,0200,ECOM,1,5,Financial Services,29.57,False,56.9,True
TXN100138,2026-03-04 13:36:07,13,FUND_TRANSFER,0200,ECOM,5,5,Fuel,85.59,False,53.0,True
TXN100139,2026-03-20 16:56:48,16,PURCHASE,0200,MOBILE_APP,2,3,Restaurant,20.5,False,46.8,True
TXN100140,2026-06-26 13:57:46,13,BALANCE_INQUIRY,0100,ECOM,4,5,Airtime/Telecom,71.12,False,56.5,True
TXN100141,2026-02-08 21:14:10,21,BILL_PAYMENT,0200,ECOM,4,3,Restaurant,310.68,False,27.8,True
TXN100142,2026-02-19 13:20:01,13,BALANCE_INQUIRY,0100,ECOM,2,3,Financial Services,23.52,True,56.5,True
TXN100143,2026-03-15 22:56:11,22,WITHDRAWAL,0200,ATM,6,2,Government/Tax,58.61,False,19.1,True
TXN100144,2026-06-28 19:17:41,19,PURCHASE,0200,ECOM,5,1,Financial Services,10.35,False,52.2,True
TXN100145,2026-06-03 20:39:53,20,PURCHASE,0200,ATM,3,4,Entertainment,4.69,False,38.2,True
TXN100146,2026-01-07 18:59:17,18,FUND_TRANSFER,0200,MOBILE_APP,1,3,Financial Services,12.85,True,56.6,True
TXN100147,2026-02-12 15:44:44,15,PURCHASE,0200,POS,3,5,Transport,161.94,False,39.2,True
TXN100148,2026-05-28 14:39:14,14,BILL_PAYMENT,0200,POS,5,2,Fuel,80.13,False,52.1,True
TXN100149,2026-01-11 14:11:34,14,WITHDRAWAL,0200,ECOM,1,1,Government/Tax,34.88,False,52.4,True
TXN100150,2026-06-04 09:12:54,9,PURCHASE,0200,POS,2,5,Airtime/Telecom,6.63,False,47.0,True
TXN100151,2026-02-20 09:12:02,9,WITHDRAWAL,0200,POS,6,2,Airtime/Telecom,11.95,False,50.7,True
TXN100152,2026-06-15 02:04:14,2,PURCHASE,0200,MOBILE_APP,2,6,Transport,80.99,False,8.0,True
TXN100153,2026-02-22 18:59:08,18,WITHDRAWAL,0200,ECOM,4,4,Grocery,22.18,False,62.0,True
TXN100154,2026-03-20 07:50:23,7,PURCHASE,0200,MOBILE_APP,2,5,Transport,2.36,False,39.3,True
TXN100155,2026-04-30 15:47:34,15,BALANCE_INQUIRY,0100,ECOM,1,1,Government/Tax,23.74,False,43.4,True
TXN100156,2026-01-23 07:46:40,7,WITHDRAWAL,0200,MOBILE_APP,1,5,E-commerce,57.84,False,37.1,True
TXN100157,2026-04-11 05:53:50,5,BALANCE_INQUIRY,0100,ECOM,1,5,Education,9.3,False,17.1,True
TXN100158,2026-04-01 14:42:09,14,PURCHASE,0200,POS,6,3,Financial Services,7.19,False,49.2,True
TXN100159,2026-05-22 19:15:38,19,REVERSAL,0420,POS,4,2,Grocery,21.81,False,49.9,True
TXN100160,2026-06-29 11:14:48,11,PURCHASE,0200,ECOM,1,6,Education,36.43,False,49.4,True
TXN100161,2026-04-30 20:29:29,20,BALANCE_INQUIRY,0100,MOBILE_APP,5,1,Healthcare,58.9,True,42.1,True
TXN100162,2026-03-15 00:11:37,0,PURCHASE,0200,ECOM,2,2,Education,21.74,False,8.6,True
TXN100163,2026-03-15 13:31:55,13,WITHDRAWAL,0200,ECOM,6,2,Healthcare,180.6,False,51.8,True
TXN100164,2026-03-17 08:43:54,8,PURCHASE,0200,ECOM,3,1,Entertainment,112.95,False,48.0,True
TXN100165,2026-05-27 10:15:03,10,WITHDRAWAL,0200,ECOM,1,5,Airtime/Telecom,45.79,False,53.2,True
TXN100166,2026-02-27 01:13:36,1,WITHDRAWAL,0200,POS,6,4,Grocery,34.16,False,11.9,True
TXN100167,2026-01-31 02:08:08,2,FUND_TRANSFER,0200,POS,1,5,Entertainment,32.0,False,11.7,True
TXN100168,2026-03-02 17:32:01,17,BALANCE_INQUIRY,0100,ECOM,2,3,Healthcare,27.87,False,56.3,True
TXN100169,2026-01-05 16:11:13,16,PURCHASE,0200,MOBILE_APP,3,4,Entertainment,21.3,False,44.4,True
TXN100170,2026-01-20 09:54:10,9,FUND_TRANSFER,0200,POS,5,1,Restaurant,48.5,False,48.0,True
TXN100171,2026-01-17 20:19:00,20,WITHDRAWAL,0200,MOBILE_APP,4,6,Education,36.52,False,35.6,True
TXN100172,2026-05-19 17:47:29,17,WITHDRAWAL,0200,POS,3,3,Entertainment,115.44,False,56.6,True
TXN100173,2026-05-11 11:25:26,11,PURCHASE,0200,ECOM,4,1,Fuel,32.33,False,52.7,True
TXN100174,2026-05-06 12:50:28,12,WITHDRAWAL,0200,MOBILE_APP,1,4,Education,11.8,False,56.4,True
TXN100175,2026-03-25 10:01:23,10,BALANCE_INQUIRY,0100,POS,6,2,Financial Services,26.27,False,42.1,True
TXN100176,2026-05-10 19:13:36,19,PURCHASE,0200,POS,5,5,Healthcare,29.64,False,53.6,True
TXN100177,2026-01-30 13:28:08,13,PURCHASE,0200,ECOM,5,2,Utilities,10.22,False,51.1,True
TXN100178,2026-06-12 07:32:12,7,FUND_TRANSFER,0200,MOBILE_APP,2,5,Airtime/Telecom,21.8,True,37.4,True
TXN100179,2026-04-01 09:31:03,9,FUND_TRANSFER,0200,POS,3,6,Financial Services,18.97,False,50.7,True
TXN100180,2026-06-18 10:41:18,10,PURCHASE,0200,ECOM,6,5,Utilities,50.01,False,49.1,True
TXN100181,2026-01-28 12:28:04,12,WITHDRAWAL,0200,POS,4,4,Government/Tax,40.46,False,56.0,True
TXN100182,2026-03-31 15:46:38,15,BALANCE_INQUIRY,0100,ECOM,4,2,Education,180.53,False,42.0,True
TXN100183,2026-05-06 22:35:27,22,BALANCE_INQUIRY,0100,ATM,6,2,Government/Tax,134.95,True,20.7,True
TXN100184,2026-03-31 10:54:31,10,WITHDRAWAL,0200,ECOM,2,5,Airtime/Telecom,31.74,True,48.8,True
TXN100185,2026-03-22 11:05:43,11,PURCHASE,0200,POS,4,1,Utilities,88.43,False,53.3,True
TXN100186,2026-01-30 01:41:15,1,BILL_PAYMENT,0200,ATM,1,5,Grocery,67.67,True,8.4,True
TXN100187,2026-03-10 11:52:08,11,BALANCE_INQUIRY,0100,POS,5,3,Government/Tax,25.91,False,53.8,True
TXN100188,2026-02-12 16:03:21,16,FUND_TRANSFER,0200,POS,2,1,Utilities,29.28,False,48.6,True
TXN100189,2026-02-24 22:14:44,22,REVERSAL,0420,USSD,4,4,Entertainment,14.47,False,21.4,True
TXN100190,2026-05-04 17:14:07,17,PURCHASE,0200,MOBILE_APP,2,3,Government/Tax,11.64,False,55.7,True
TXN100191,2026-04-24 07:26:10,7,PURCHASE,0200,ECOM,3,4,Grocery,86.07,False,33.5,False
TXN100192,2026-04-20 20:30:57,20,PURCHASE,0200,MOBILE_APP,4,5,Grocery,8.08,False,40.6,True
TXN100193,2026-03-07 19:51:34,19,BALANCE_INQUIRY,0100,MOBILE_APP,1,6,Government/Tax,32.05,False,55.6,True
TXN100194,2026-06-22 08:23:51,8,WITHDRAWAL,0200,POS,1,4,Transport,205.83,False,51.9,True
TXN100195,2026-01-16 21:42:19,21,PURCHASE,0200,ECOM,3,2,Education,31.54,True,31.8,True
TXN100196,2026-03-03 17:50:40,17,PURCHASE,0200,POS,3,6,E-commerce,114.61,False,51.1,True
TXN100197,2026-01-22 18:43:06,18,BILL_PAYMENT,0200,ECOM,6,1,Healthcare,78.61,False,60.3,True
TXN100198,2026-03-03 13:55:55,13,FUND_TRANSFER,0200,POS,4,4,Entertainment,56.92,False,55.0,True
TXN100199,2026-06-23 09:48:44,9,PURCHASE,0200,ATM,1,3,Restaurant,75.96,False,54.0,True
TXN100200,2026-03-07 18:22:58,18,WITHDRAWAL,0200,ECOM,4,1,Healthcare,32.6,True,61.8,True
TXN100201,2026-06-13 13:58:29,13,PURCHASE,0200,POS,6,6,Airtime/Telecom,39.2,False,54.8,True
TXN100202,2026-03-31 22:56:04,22,PURCHASE,0200,ECOM,6,6,Fuel,36.77,False,23.2,True
TXN100203,2026-05-06 08:02:28,8,FUND_TRANSFER,0200,POS,5,5,Healthcare,60.38,False,49.0,True
TXN100204,2026-03-24 11:57:21,11,PURCHASE,0200,POS,1,4,Utilities,104.45,False,52.8,True
TXN100205,2026-02-17 17:59:28,17,FUND_TRANSFER,0200,ECOM,4,3,Financial Services,198.16,False,54.6,True
TXN100206,2026-05-18 15:50:48,15,FUND_TRANSFER,0200,POS,1,3,Education,63.98,True,50.5,True
TXN100207,2026-06-24 12:56:14,12,PURCHASE,0200,MOBILE_APP,5,6,Healthcare,82.99,False,60.6,True
TXN100208,2026-02-17 17:49:30,17,PURCHASE,0200,ECOM,6,5,Utilities,58.34,False,54.5,True
TXN100209,2026-05-21 17:08:22,17,PURCHASE,0200,USSD,6,2,Entertainment,8.44,False,56.0,True
TXN100210,2026-02-17 15:01:43,15,PURCHASE,0200,POS,6,4,Education,64.61,False,44.8,True
TXN100211,2026-05-10 11:17:35,11,BALANCE_INQUIRY,0100,POS,4,1,Financial Services,52.96,False,56.1,True
TXN100212,2026-05-23 15:02:40,15,PURCHASE,0200,MOBILE_APP,3,3,Fuel,11.86,False,47.0,True
TXN100213,2026-03-22 14:39:00,14,PURCHASE,0200,ATM,2,4,Grocery,13.91,False,48.2,True
TXN100214,2026-05-13 18:51:54,18,FUND_TRANSFER,0200,POS,5,1,Education,20.76,False,60.4,True
TXN100215,2026-02-19 16:52:59,16,FUND_TRANSFER,0200,POS,4,5,Education,47.43,False,48.0,True
TXN100216,2026-01-15 13:05:19,13,BALANCE_INQUIRY,0100,POS,6,2,Healthcare,39.05,False,56.2,True
TXN100217,2026-01-18 01:32:05,1,PURCHASE,0200,MOBILE_APP,6,6,Fuel,19.82,False,8.5,True
TXN100218,2026-03-22 08:31:04,8,PURCHASE,0200,ATM,1,2,Transport,41.83,False,45.5,True
TXN100219,2026-06-12 11:30:56,11,PURCHASE,0200,MOBILE_APP,6,3,Education,7.09,False,52.4,True
TXN100220,2026-01-23 15:54:50,15,FUND_TRANSFER,0200,MOBILE_APP,5,2,Financial Services,25.87,False,48.6,True
TXN100221,2026-03-24 18:07:58,18,PURCHASE,0200,ATM,6,3,Airtime/Telecom,294.67,True,59.8,True
TXN100222,2026-05-07 22:04:35,22,BILL_PAYMENT,0200,ECOM,5,5,Fuel,56.9,False,21.8,True
TXN100223,2026-02-06 15:43:58,15,BALANCE_INQUIRY,0100,ECOM,4,1,Airtime/Telecom,12.63,False,49.7,True
TXN100224,2026-05-10 17:36:35,17,PURCHASE,0200,ECOM,6,5,Government/Tax,99.17,False,57.4,True
TXN100225,2026-02-25 15:29:54,15,BILL_PAYMENT,0200,ECOM,4,1,Fuel,40.31,False,42.5,True
TXN100226,2026-05-26 12:10:58,12,BALANCE_INQUIRY,0100,ATM,2,1,Government/Tax,145.99,False,54.0,True
TXN100227,2026-04-15 15:06:37,15,BILL_PAYMENT,0200,USSD,2,2,Utilities,4.39,False,45.5,True
TXN100228,2026-04-09 12:37:22,12,BILL_PAYMENT,0200,POS,6,4,E-commerce,18.2,False,58.5,True
